,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
23290,Portugal,"Blending Baga and Touriga Nacional, this wine delivers a big sweep of red fruits and spice. Juicy acidity bursts from the glass. The firm tannins of both grapes are still there and need time to round out. Give this wine until 2017.",Tinto,91,18.0,Bairrada,,,Roger Voss,@vossroger,Ataíde Semedo 2012 Tinto Red (Bairrada),Portuguese Red,Ataíde Semedo
37577,US,"From a rare white grape in the region, this bottling shows ripe apple and pear flesh on the nose as well as tangerine juice, lime rinds and chalk. The palate is both dainty and candied, with Jolly Rancher sour-apple flavors woven into grapefruit-pith grip.",,88,30.0,California,Sta. Rita Hills,Central Coast,Matt Kettmann,@mattkettmann,Alma Rosa 2014 Pinot Blanc (Sta. Rita Hills),Pinot Blanc,Alma Rosa
106559,US,"A scent and flavor of vitamin pill pervades this attenuated wine. The fruit hovers around flavors of rhubarb and pomegranate, and the overall impression is that the wine needs more time to pull itself together.",,85,42.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Patterson 2011 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Patterson
126835,US,"This is a crisp, clean and nicely-structured Chardonnay, fermented in a mix of new and neutral oak, along with some stainless steel. A bit beer-like and yeasty at first, it opens into pleasing flavors of grapefruit and pineapple, with just the right amount of acidity.",,88,11.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Chateau Ste. Michelle 2012 Chardonnay (Columbia Valley (WA)),Chardonnay,Chateau Ste. Michelle
86189,US,"Hermann J. Wiemer may be synonymous with NY Riesling, but its Cabernet Francs are consistently some of the best reds made in the state. Subdued shades of cigar box, cedar and tomato leaf lend savory Old World elegance to this ripe richly concentrated wine. Pristine blackberry and plum flavors are juicy and penetrating yet briskly composed. A bristle of soft cocoa powder tannins extends the finish.",Magalena Vineyard,93,32.0,New York,Seneca Lake,Finger Lakes,Anna Lee C. Iijima,,Hermann J. Wiemer 2014 Magalena Vineyard Cabernet Franc (Seneca Lake),Cabernet Franc,Hermann J. Wiemer
111602,Spain,"Toasty and sweet on the nose, however it's not very complex. Feels juicy and refined, with raisin, fig and date flavors. Long on the finish and chocolaty tasting, with raisin and a lightness of being. Sweet within the style, but not unctuous or candied.",Solera Cream,90,29.0,Andalucia,Montilla-Moriles,,Michael Schachner,@wineschach,Alvear NV Solera Cream Pedro Ximénez (Montilla-Moriles),Pedro Ximénez,Alvear
56900,US,Scents of effervescent cherry and mint run with emergent licorice and slate on this wine that proves lithe yet flavorful on the palate. Lovely blackberry flavors and black pepper make for a very balanced bottling that doesn't rely on bombastic power to tell the Syrah story.,White Hawk Vineyard,92,45.0,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,Vie Winery 2011 White Hawk Vineyard Syrah (Santa Barbara County),Syrah,Vie Winery
44814,France,"This attractive, citrus-driven blend of Vermentino and Sauvignon Blanc comes from an estate created by the Knights Templar in the 13th century. It owes a lot to the Sauvignon in its tight herbal character. Lemon and grapefruit fruits are filled out with more exotic pineapple and mango flavors. The wine is a little young to drink now so try waiting until late 2016.",,88,19.0,Provence,Coteaux d'Aix-en-Provence,,Roger Voss,@vossroger,Commanderie de la Bargemone 2015 White (Coteaux d'Aix-en-Provence),Provence white blend,Commanderie de la Bargemone
122723,Spain,"A big, rubbery, gaseous nose is not clean, welcoming or lush. That said, this tannic, hard-bodied Tempranillo is pumping savory oak flavors as well as baked blackberry, baking spice and salty notes. A toasty, massive finish simmers away before spilling hard tannins and overt oak. Drink 2016–2022.",Torre Muga,91,100.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Muga 2010 Torre Muga  (Rioja),Tempranillo Blend,Muga
23604,US,"This is a keeper. Smoky, charred aromas, rich dark-fruit flavors like blackberry and boysenberry and meaty, peppery accents fill up this full-bodied and very firmly textured wine. It will get even more interesting with age; try it after 2020.",Old Vine,91,35.0,California,Contra Costa County,Central Coast,Jim Gordon,@gordone_cellars,Trinitas 2013 Old Vine Petite Sirah (Contra Costa County),Petite Sirah,Trinitas
86379,France,"91-93 Barrel sample. Power, dark tannins, black chocolate to go with the rich blackberry fruit flavors. The wine is solid, foursquare, very structured.",Barrel sample,92,,Bordeaux,Saint-Estèphe,,Roger Voss,@vossroger,Château de Pez 2009 Barrel sample  (Saint-Estèphe),Bordeaux-style Red Blend,Château de Pez
81125,Italy,"Typical varietal aromas of black-skinned berry, blue flower a spice note waft out of the glass. The straightforward, easygoing palate conveys mature black cherry, raspberry jam and a light note of ground pepper alongside soft, round tannins. Simple but well made, it makes an ideal quaffing wine.",,87,14.0,Sicily & Sardinia,Terre Siciliane,,Kerin O’Keefe,@kerinokeefe,Castellucci Miano 2013 Nero d'Avola (Terre Siciliane),Nero d'Avola,Castellucci Miano
7685,Turkey,"Aromas of cherry, raspberry and buttered toast set the scene for a wine whose flavors of Bing cherry, custard, clove and fennel are bright on entry before pleasantly washing across the side palate. Unified fruit and spice flavors endure on the taste buds into the smooth, drawn out finish.",Reserve Single Vineyard Bozokbag,90,39.0,Thrace,,,Mike DeSimone,@worldwineguys,Suvla 2011 Reserve Single Vineyard Bozokbag Cabernet Sauvignon (Thrace),Cabernet Sauvignon,Suvla
79160,US,"Light aromas of flower, apple, melon and pear lead to dry stone-fruit flavors. It's a pleasant if somewhat innocuous easy drinker.",Proprietor's Reserve Otis Vineyard,85,19.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Maryhill 2016 Proprietor's Reserve Otis Vineyard Albariño (Columbia Valley (WA)),Albariño,Maryhill
76958,US,"This has 10% Monastrell in the mix, and it is a sublime example of what flavors of baked raspberry compote, cranberry and black licorice can do when allowed to mingle together in liquid form. Medium in body, this has a lot of earthiness. It would make a fine alternative to more expensive Pinots.",Terra Alta Vineyard,91,18.0,California,Clements Hills,Central Valley,Virginie Boone,@vboone,Bokisch 2010 Terra Alta Vineyard Garnacha (Clements Hills),Garnacha,Bokisch
71642,US,"There's a lack of structure and soul in this wine, which presents as somewhat mushy in tropical fruit and preserved lemon.",Mills Cuvée,82,25.0,California,Green Valley,Sonoma,Virginie Boone,@vboone,River Road 2014 Mills Cuvée Chardonnay (Green Valley),Chardonnay,River Road
13629,Italy,"This opens with aromas of dried yellow peach, white flower and ripe pear. Made with dried Garganega grapes, the savory palate delivers dried tangerine, apricot jam and a touch of caramel. It has good length and fresh acidity.",Le Sponde,91,43.0,Veneto,Recioto di Soave Classico,,Kerin O’Keefe,@kerinokeefe,Coffele 2015 Le Sponde  (Recioto di Soave Classico),Garganega,Coffele
26251,Italy,"Marco Felluga's Mongris Riserva Pinot Grigio is a sophisticated and complex white wine that has been enhanced by creamy oak tones. Aromas here include dried apricot, toasted almond, vanilla and baked bread. The wine's texture is rich, dense and very satisfying. Pair this wine with lobster or crab.",Mongris Riserva,90,30.0,Northeastern Italy,Collio,,,,Marco Felluga 2006 Mongris Riserva Pinot Grigio (Collio),Pinot Grigio,Marco Felluga
120466,Portugal,"This is a red sparkling wine, pure Touriga Nacional but also shockingly acidic and dry. Plus it has tannins. It's well made for what it is and will certainly appeal to drinkers who like red sparkling wine.",Encontro Brut Tinto,86,,Vinho Espumante de Qualidade,,,Roger Voss,@vossroger,Dão Sul NV Encontro Brut Tinto Touriga Nacional (Vinho Espumante de Qualidade),Touriga Nacional,Dão Sul
37466,Italy,"This is a delicate and harmonious wine with a large offering of fragrant aromas that are doled out in measured, careful doses. You'll get chocolate and coffee shavings next to earthy tones, Porcini mushroom, forest floor and a delicate embroidery of small berry fruit. It's a distinctive wine with tight tannins, solid structure and a fresh, clean finish.",Riserva,90,100.0,Tuscany,Brunello di Montalcino,,,,Podere Brizio 2001 Riserva  (Brunello di Montalcino),Sangiovese Grosso,Podere Brizio
58745,Portugal,"A rich, full-bodied, yet also elegant wine that is ripe and mature. A selection of the best lots, it has spice, rich red plum and generous texture. Drink now.",Cuvée TT,91,25.0,Dão,,,Roger Voss,@vossroger,Quinta das Marias 2013 Cuvée TT Red (Dão),Portuguese Red,Quinta das Marias
111859,US,"An easy-drinking red blend, made for near term enjoyment. The blend is 40% Cabernet Sauvignon, 40% Cab Franc, 10% Syrah and 10% Zinfandel. All quite ripe and wrapped in smoky chocolate. The finish gets a little chalky.",Iron Bed Red,86,28.0,Washington,Wahluke Slope,Columbia Valley,Paul Gregutt,@paulgwine ,Hard Row To Hoe 2007 Iron Bed Red Red (Wahluke Slope),Red Blend,Hard Row To Hoe
122498,Italy,"Smooth and delicious, this boasts enticing scents of violet, berry, leather, tilled soil and aromatic herb. The radiant, elegant palate offers ripe red cherry, crushed raspberry, white pepper and licorice, while a note of pipe tobacco closes the finish. Polished tannins and bright acidity provide balance and structure. Drink 2018–2025.",Il Grigio Gran Selezione,95,55.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,San Felice 2013 Il Grigio Gran Selezione  (Chianti Classico),Red Blend,San Felice
96983,Italy,"This leads with mocha, herb and leather aromas. The palate is still tight and closed but offers red berry, clove and sage hints with some air. Clenched tannins grip the close.",,87,45.0,Piedmont,Barbaresco,,Kerin O’Keefe,@kerinokeefe,Francesco Rinaldi 2014  Barbaresco,Nebbiolo,Francesco Rinaldi
322,Italy,"This is a “dry” vintage Prosecco with a hint of sweetness in the mouth that is surrounded by fragrant flavors of peach, kiwi and green melon. This luminous sparkler tastes firm and tonic and makes for an informal afternoon sipper.",Millesimato Dry,86,18.0,Veneto,Prosecco di Valdobbiadene,,,,Sant Eurosia 2007 Millesimato Dry  (Prosecco di Valdobbiadene),Prosecco,Sant Eurosia
41778,US,"Dark strawberries, rose buds, black plums, sweet cedar, tangy herbs and oodles of dark fruit pour off the nose of this wine, which is leveled by 13% Syrah. Bursting acidity frames the palate alongside red currants, peppercorns, dill and black olive. It's slightly less dense in style than other Mourvèdres.",,89,76.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Mooney Family 2013 Mourvèdre (Paso Robles),Mourvèdre,Mooney Family
92980,France,"Subtle hints of tart apples appear first, then there is the merest touch of quince, even a touch of lemon balm. The palate pans out aromatically, always in that apple and quince spectrum, and has a brightening crisp edge of freshness and absolute concentration and dryness. With more air, the aromatic lemon balm note adds its special perfume to this wine. This is invigorating and enlivening.",Zotzenberg Grand Cru,93,38.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Boeckel 2014 Zotzenberg Grand Cru Riesling (Alsace),Riesling,Boeckel
92158,Italy,"A big friendly wine that is rich and easygoing and just about ready to drink. The dominant aromas are of dark fruit mixed in with smoked meat and some earthiness. On the palate, it is rich, fat and easy to like, but it comes across as being a little simple.",Vigneto Bofani,88,79.0,Piedmont,Barolo,,,,Beni di Batasiolo 2000 Vigneto Bofani  (Barolo),Nebbiolo,Beni di Batasiolo
99888,US,"This has a mild, soft nose, with scents of broad black fruit, boiled asparagus and peppered meat. The palate is full bodied, with ripe tannins. A note of sour black-raspberry candy marks the finish.",,82,15.0,Missouri,Missouri,,,,Montelle 2010 Chambourcin (Missouri),Chambourcin,Montelle
11360,US,"Everything about this wine is admirable except for the concentration. It's dry and crisp with acidity, but only delicately flavored with citrus, pears, honey and vanilla bean.",,82,15.0,California,California,California Other,,,Seven Daughters NV Pinot Grigio (California),Pinot Grigio,Seven Daughters
47621,Spain,"This is a char-broiled Mencía that's a lot more about oak and barrel influence than anything else. Aromas run from blackened meat to barbecue, with a saucy berry note. It feels round, full and resiny from the copious oak aging, with dominating flavors of wood, char and toast, along with related notes of cinnamon, nutmeg and clove.",,87,49.0,Northern Spain,Valdeorras,,Michael Schachner,@wineschach,Avanthia 2009 Mencía (Valdeorras),Mencía,Avanthia
79448,Italy,"This bright and luscious Barbera offers a full range of aromas that span from blueberry to elegant smoke and exotic spice. The wine ends with a fresh, crisp finish but there's also good density and fullness here on the close.",Vigna Dacapo,89,30.0,Piedmont,Barbera d'Asti Superiore Nizza,,,,Dacapo 2006 Vigna Dacapo  (Barbera d'Asti Superiore Nizza),Barbera,Dacapo
68444,Portugal,"With 18 months in French and American oak, this wine is structured with concentrated tannins under its bright, juicy blackberry fruit. Still young and brightly acidic, it's drinkable now but will be better from 2019.",Reserva,90,22.0,Douro,,,Roger Voss,@vossroger,CARM 2013 Reserva Red (Douro),Portuguese Red,CARM
13379,Argentina,"Composed, mossy aromas of fern, black fruits and cedar are more subtle than the palate, which is intense and a bit grating. Dark flavors of chocolate, wild berry and mocha finish with depth, integrated tannins and chocolaty richness. Drink this blend of three vineyards through 2021.",Terroir Selection,92,29.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Alta Vista 2012 Terroir Selection Malbec (Mendoza),Malbec,Alta Vista
